seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,no_pra_gold_logprob_delta_vs_frozen,no_pra_first_token_rank_delta_vs_frozen,no_pra_first_token_margin_delta_vs_frozen,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes,trainable_memory_bytes_fp32
11,fixed,hotpotqa,oracle,4,-6.999312579631805,1.0035043060779572,236.75,-650.0,-10.423828125,1.392578125,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.16249504999723285,0.7356710499880137,449.0,0.0,0.0,0.0,0.0
11,fixed,hotpotqa,routed,4,-7.892500400543213,0.11031648516654968,440.5,-446.25,-11.712890625,0.103515625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.1616568000172265,0.7643744500091998,384.0,0.0,0.0,0.0,0.0
11,fixed,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.501291750013479,1.0233673250186257,0.0,0.0,0.0,0.0,0.0
11,fixed,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.14734779999707825,0.7243529249972198,0.0,0.0,0.0,0.0,0.0
11,fixed,qasper,oracle,4,-7.341205358505249,-0.16070330142974854,10.5,-0.5,-6.80078125,-0.02734375,0.0,0.0,0.0,0.125,0.0,0.5,0.15485322500171605,0.8027631499862764,960.0,0.0,0.0,0.0,0.0
11,fixed,qasper,routed,4,-7.6368184089660645,-0.45631635189056396,14.75,3.75,-7.125,-0.3515625,0.0,0.0,0.0,0.125,0.0,0.5,0.15231415000744164,0.7846051249944139,384.0,0.0,0.0,0.0,0.0
11,lm_head,hotpotqa,direct_text,4,-3.390596568584442,4.613063365221024,318.75,-570.5,-7.6484375,4.28515625,-0.000843048095703125,2.5,-0.1171875,0.125,0.0,0.25,0.26001892500789836,0.7707668249931885,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
11,lm_head,hotpotqa,none,4,-8.003659933805466,0.0,889.25,0.0,-11.93359375,0.0,-0.000843048095703125,2.5,-0.1171875,0.05555555555555556,0.0,0.0,0.15569899998081382,0.6741961499938043,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
11,lm_head,hotpotqa,oracle,4,-7.002236604690552,1.001423329114914,239.5,-649.75,-10.423828125,1.509765625,-0.000843048095703125,2.5,-0.1171875,0.05555555555555556,0.0,0.0,0.1620902249997016,0.7249894000124186,449.0,155582464.0,26.102253985706433,311164928.0,622329856.0
11,lm_head,hotpotqa,routed,4,-7.881029009819031,0.12263092398643494,444.0,-445.25,-11.740234375,0.193359375,-0.000843048095703125,2.5,-0.1171875,0.05555555555555556,0.0,0.0,0.16211575000488665,0.7273770250176312,384.0,155582464.0,26.102253985706433,311164928.0,622329856.0
11,lm_head,qasper,direct_text,4,-9.086974501609802,-1.9559189081192017,20.75,9.75,-8.744140625,-2.044921875,0.0494464635848999,0.0,0.07421875,0.0,0.0,0.0,0.5002791500010062,0.9941850999748567,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
11,lm_head,qasper,none,4,-7.131055593490601,0.0,11.0,0.0,-6.69921875,0.0,0.0494464635848999,0.0,0.07421875,0.1875,0.0,0.75,0.14718457497656345,0.7034680000069784,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
11,lm_head,qasper,oracle,4,-7.2166138887405396,-0.08555829524993896,10.0,-1.0,-6.71484375,-0.015625,0.0494464635848999,0.0,0.07421875,0.1875,0.0,0.75,0.15503177499340381,0.7762016249907902,960.0,155582464.0,26.102253985706433,311164928.0,622329856.0
