seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
23,lora_o_r8,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.26548439999169204,0.7830642499902751,0.0,98304.0,0.016492578339747113,393216.0
23,lora_o_r8,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15802212498965673,0.7027063500136137,0.0,98304.0,0.016492578339747113,393216.0
23,lora_o_r8,hotpotqa,oracle,4,-5.361361920833588,2.641454964876175,96.5,-790.25,-6.30859375,5.5078125,0.0,0.0,0.0,0.16682304997812025,0.7328032500081463,449.0,98304.0,0.016492578339747113,393216.0
23,lora_o_r8,hotpotqa,routed,4,-6.309798836708069,1.6930180490016937,311.5,-575.25,-7.599609375,4.216796875,0.07142857142857144,0.0,0.0,0.16586332497536205,0.7930311249947408,384.0,98304.0,0.016492578339747113,393216.0
23,lora_o_r8,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5093801250040997,1.0482499000063399,0.0,98304.0,0.016492578339747113,393216.0
23,lora_o_r8,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14738875003240537,0.7397600499825785,0.0,98304.0,0.016492578339747113,393216.0
23,lora_o_r8,qasper,oracle,4,-5.591191053390503,1.5893110036849976,9.5,-1.5,-4.861328125,1.912109375,0.0625,0.0,0.25,0.1592366000113543,0.8455331000004662,960.0,98304.0,0.016492578339747113,393216.0
23,lora_o_r8,qasper,routed,4,-5.743326187133789,1.4371758699417114,14.75,3.75,-4.857421875,1.916015625,0.0625,0.0,0.25,0.15613064999342896,0.8339256250037579,384.0,98304.0,0.016492578339747113,393216.0
23,residual_32,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.26230849999410566,0.7801241999986814,0.0,393344.0,0.06599178807036833,1573376.0
23,residual_32,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.1569027250079671,0.7148792250081897,0.0,393344.0,0.06599178807036833,1573376.0
23,residual_32,hotpotqa,oracle,4,-4.980049014091492,3.022767871618271,24.5,-862.25,-6.81640625,5.0,0.1,0.0,0.0,0.17332489999535028,0.8233644749852829,449.0,393344.0,0.06599178807036833,1573376.0
