baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,method,pairs,rank,ties,wins
QC primary,0.005416666666666665,-0.09770833333333333,hotpotqa,9,4,-0.045833333333333344,native_farthest,16,0,2,5
QK key-only m8,0.020833333333333336,-0.02845238095238095,hotpotqa,2,4,-0.0030952380952380936,native_farthest,16,0,12,2
QK mean,0.059375,-0.06875,hotpotqa,3,4,-0.002678571428571426,native_farthest,16,0,10,3
Paper 2.6 BM25,-0.1625,-0.43392857142857144,hotpotqa,12,8,-0.29880952380952386,native_farthest,16,0,3,1
Paper 2.6 exact,-0.09598214285714286,-0.2883928571428571,hotpotqa,9,8,-0.18794642857142857,native_farthest,16,0,7,0
Paper 2.6 gist,0.02857142857142857,-0.12678571428571428,hotpotqa,6,8,-0.05178571428571428,native_farthest,16,0,8,2
Paper 2.6 hybrid,-0.075,-0.28616071428571427,hotpotqa,10,8,-0.18050595238095238,native_farthest,16,0,5,1
QC exploratory,0.01276785714285714,-0.10178571428571428,hotpotqa,10,8,-0.04398809523809524,native_farthest,16,0,2,4
QC primary,-0.011875000000000005,-0.12020833333333333,hotpotqa,11,8,-0.06770833333333334,native_farthest,16,0,2,3
QK key-only m8,0.02625,-0.06952380952380952,hotpotqa,5,8,-0.024970238095238097,native_farthest,16,0,10,1
QK mean,0.0,-0.0625,hotpotqa,2,8,-0.024553571428571428,native_farthest,16,0,14,0
Paper 2.6 BM25,-0.12842261904761906,-0.4147321428571429,hotpotqa,12,1,-0.2742559523809524,native_kmeans,16,0,2,2
Paper 2.6 exact,-0.0875,-0.24241071428571426,hotpotqa,9,1,-0.16339285714285717,native_kmeans,16,0,7,0
Paper 2.6 gist,0.053125000000000006,-0.10982142857142856,hotpotqa,5,1,-0.027232142857142858,native_kmeans,16,0,8,3
Paper 2.6 hybrid,-0.06383928571428572,-0.24613095238095234,hotpotqa,10,1,-0.15595238095238093,native_kmeans,16,0,5,1
QC exploratory,0.030863095238095235,-0.0699702380952381,hotpotqa,8,1,-0.019434523809523808,native_kmeans,16,0,3,5
QC primary,0.008958333333333329,-0.09544642857142858,hotpotqa,10,1,-0.04315476190476192,native_kmeans,16,0,2,4
QK key-only m8,0.0575,-0.05333333333333333,hotpotqa,4,1,-0.0004166666666666676,native_kmeans,16,0,10,2
QK mean,0.0,0.0,hotpotqa,0,1,0.0,native_kmeans,16,0,16,0
Paper 2.6 BM25,-0.13452380952380952,-0.39404761904761915,hotpotqa,12,2,-0.2648809523809524,native_kmeans,16,0,3,1
Paper 2.6 exact,-0.053125000000000006,-0.2540178571428572,hotpotqa,8,2,-0.15401785714285715,native_kmeans,16,0,7,1
