split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B1_bm25,0.125,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.875,167,4,167,0,0,0.0,3,95.57399991899729,6.9565000012516975,49.85609999857843,152.38659991882741,167,167
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B2_exact,0.125,0.25,1.0,0.3903800499921017,1.0,0.0,0.875,167,4,167,0,0,0.0,3,97.73360006511211,13.189899967983365,56.1323999427259,167.05589997582138,167,167
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B3_weighted,0.125,0.25,1.0,0.3903800499921017,1.0,0.0,0.875,167,4,167,0,0,0.0,3,116.34700000286102,9.456000057980418,65.94420014880598,191.74720020964742,167,167
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,B4_approx,0.125,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.875,167,4,167,0,0,0.0,3,85.68240003660321,12.829700019210577,58.03210008889437,156.54420014470816,167,167
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,H1_union,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,4,167,0,0,0.0,4,87.17860002070665,9.137900080531836,56.138299871236086,152.45479997247458,167,167
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,H2_token_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,4,167,0,0,0.0,4,102.71900007501245,13.078999938443303,69.50039998628199,185.29839999973774,167,167
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,H3_semantic_token,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,4,167,0,0,0.0,4,119.47549995966256,7.261999882757664,54.015800124034286,180.7532999664545,167,167
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,H4_cascade,0.125,0.25,1.0,0.3903800499921017,1.0,0.0,0.875,167,4,167,0,0,0.0,3,114.73189992830157,12.87219999358058,57.07480013370514,184.6789000555873,167,167
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,H5_iterative_hybrid,0.125,0.25,0.25,0.16812753627111746,1.0,0.0,0.875,167,4,167,0,0,0.0,3,280.74049996212125,11.120699811726809,68.12020018696785,359.9813999608159,501,501
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,A1_broad_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167,8,167,0,0,0.0,8,2.874300116673112,9.984799893572927,0.0,12.859100010246038,167,0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,O1_oracle,0.5,1.0,1.0,1.0,1.0,0.0,0.5,167,4,167,0,0,0.0,0,0.11440017260611057,13.456699904054403,0.0,13.571100076660514,0,0
