any_evidence,bridge_locality_score,budget_parents,candidate_parents,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_evidence_identity,example_id,fraction,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,parent_entropy,path_depth,repeated_parent_transitions,routing_seconds,seed,semantic_gist_comparisons,unique_parents_selected
0.0,0,2,6,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.3,0,0,0,0,0.34664861205145564,512,0,0,2,0,0.006600799970328808,11,12,2
0.0,0.038193754851818085,2,6,0.0,local_gist_closure,1,hotpotqa,0.0,0.0,5a84c4bb5542991dd0999dec,0.3,3.8540854454040527,1.0,56,1.0366556456875928,0.34664861205145564,512,0,1.758549451828003,2,1,0.008811700041405857,11,54,2
0.0,0,1,7,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5abbd4035542993f40c73bcb,0.1,0,0,0,0,0.023521932612841703,37,0,0,1,0,0.0035368999815545976,11,7,1
0.0,0,1,7,0.0,parent_closure,0,hotpotqa,0.0,0.0,5abbd4035542993f40c73bcb,0.1,0,0,0,0,0.023521932612841703,37,0,0,1,0,0.0038187000318430364,11,7,1
0.0,0.0,1,7,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5abbd4035542993f40c73bcb,0.1,0.0,1.0,8,1.0,0.023521932612841703,37,0,1.9264073371887207,1,0,0.0032468000426888466,11,7,1
1.0,0,2,7,1.0,one_shot_parent,0,hotpotqa,0.5,0.0,5abbd4035542993f40c73bcb,0.2,0,0,0,0,0.18626827717736807,293,0,0,1,0,0.0033811000175774097,11,7,2
1.0,0,2,7,1.0,parent_closure,0,hotpotqa,0.5,0.0,5abbd4035542993f40c73bcb,0.2,0,0,0,0,0.18626827717736807,293,0,0,2,0,0.006475600006524473,11,14,2
1.0,0.4841445982456207,2,7,1.0,local_gist_closure,1,hotpotqa,0.5,0.0,5abbd4035542993f40c73bcb,0.2,4.008044242858887,1.0,64,1.7729404467670071,0.18626827717736807,293,0,1.9192523956298828,2,1,0.009606500039808452,11,63,2
1.0,0,3,7,1.0,one_shot_parent,0,hotpotqa,0.5,0.0,5abbd4035542993f40c73bcb,0.3,0,0,0,0,0.34901462174189446,549,0,0,1,0,0.004447399987839162,11,7,3
1.0,0,3,7,1.0,parent_closure,0,hotpotqa,0.5,0.0,5abbd4035542993f40c73bcb,0.3,0,0,0,0,0.34901462174189446,549,0,0,2,0,0.00867350003682077,11,21,3
1.0,0.16402071714401245,3,7,1.0,local_gist_closure,4,hotpotqa,0.5,0.0,5abbd4035542993f40c73bcb,0.3,4.007153034210205,1.0,128,1.2495850431695232,0.34901462174189446,549,0,1.9201387564341228,2,4,0.018141799955628812,11,119,3
0.0,0,1,7,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5ae6143f5542996de7b71b2d,0.1,0,0,0,0,0.14603536794067312,256,0,0,1,0,0.003994899976532906,11,7,1
0.0,0,1,7,0.0,parent_closure,0,hotpotqa,0.0,0.0,5ae6143f5542996de7b71b2d,0.1,0,0,0,0,0.14603536794067312,256,0,0,1,0,0.004231899976730347,11,7,1
0.0,0.0,1,7,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5ae6143f5542996de7b71b2d,0.1,0.0,1.0,8,1.0,0.14603536794067312,256,0,1.9419742822647095,1,0,0.00371740001719445,11,7,1
0.0,0,2,7,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5ae6143f5542996de7b71b2d,0.2,0,0,0,0,0.29207073588134624,512,0,0,1,0,0.0036954000242985785,11,7,2
0.0,0,2,7,0.0,parent_closure,0,hotpotqa,0.0,0.0,5ae6143f5542996de7b71b2d,0.2,0,0,0,0,0.29207073588134624,512,0,0,2,0,0.006746400031261146,11,14,2
1.0,0.5575740933418274,2,7,0.0,local_gist_closure,1,hotpotqa,0.5,0.0,5ae6143f5542996de7b71b2d,0.2,4.0138654708862305,1.0,64,1.954078621057737,0.26982316029663433,473,0,1.9416579604148865,2,1,0.010333299986086786,11,63,2
1.0,0,3,7,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5ae6143f5542996de7b71b2d,0.3,0,0,0,0,0.41585852823730746,729,0,0,1,0,0.005518399993889034,11,7,3
0.0,0,3,7,0.0,parent_closure,0,hotpotqa,0.0,0.0,5ae6143f5542996de7b71b2d,0.3,0,0,0,0,0.4381061038220194,768,0,0,2,0,0.008068000024650246,11,21,3
1.0,0.5575740933418274,3,7,0.0,local_gist_closure,4,hotpotqa,0.5,0.0,5ae6143f5542996de7b71b2d,0.3,4.016392469406128,1.0,128,1.954078621057737,0.41585852823730746,729,0,1.9418413241704304,2,2,0.01712600002065301,11,119,3
1.0,0,1,4,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.1,0,0,0,0,0.16430903155603918,151,0,0,1,0,0.004352599964477122,11,4,1
1.0,0,1,4,0.0,parent_closure,0,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.1,0,0,0,0,0.16430903155603918,151,0,0,1,0,0.0031083999783731997,11,4,1
1.0,0.0,1,4,0.0,local_gist_closure,0,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.1,0.0,1.0,8,1.0,0.16430903155603918,151,0,1.3829489946365356,1,0,0.0031426000059582293,11,4,1
1.0,0,1,4,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.2,0,0,0,0,0.16430903155603918,151,0,0,1,0,0.003125099989119917,11,4,1
1.0,0,1,4,0.0,parent_closure,0,hotpotqa,0.5,0.0,5a7e513a5542994959419996,0.2,0,0,0,0,0.16430903155603918,151,0,0,1,0,0.0038633000222034752,11,4,1
