git_sha,seed,model_tier,position_mode,k_storage_mode,logical_offset_policy,stage,layer_id,native_context,logical_context,position_capacity,overlap_fraction,routing_chunk_size,materialization_budget,maximum_native_operation,dense_counterfactual_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset_overlap_50,1,32,128,192,0.5,32,160,32,128,176,1.375,0.06510921567678452,0.9962509870529175
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset_overlap_50,2,32,128,192,0.5,32,160,32,128,176,1.375,0.126083642244339,0.9852341413497925
d36f6775270125cd198543b77dc114e6018ee67a,7,small,absolute,post_position,source_relative,offset_overlap_50,3,32,128,192,0.5,32,160,32,128,176,1.375,0.29585888981819153,0.9322593808174133
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,reset,reset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.6519569158554077,0.6204285621643066
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,reset,reset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.6385770440101624,0.6274405717849731
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,reset,reset,2,32,128,192,0.0,32,160,32,128,128,1.0,0.6661966443061829,0.6171867847442627
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,reset,reset,3,32,128,192,0.0,32,160,32,128,128,1.0,0.669364333152771,0.707677960395813
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.08848237246274948,0.9927310347557068
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset,2,32,128,192,0.0,32,160,32,128,128,1.0,0.14649870991706848,0.9819163680076599
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset,3,32,128,192,0.0,32,160,32,128,128,1.0,0.1890726089477539,0.9762928485870361
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset_overlap_25,0,32,128,192,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset_overlap_25,1,32,128,192,0.25,32,160,32,128,152,1.1875,0.06830308586359024,0.9957675933837891
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset_overlap_25,2,32,128,192,0.25,32,160,32,128,152,1.1875,0.13533267378807068,0.9848993420600891
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset_overlap_25,3,32,128,192,0.25,32,160,32,128,152,1.1875,0.16402049362659454,0.9836836457252502
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset_overlap_50,0,32,128,192,0.5,32,160,32,128,176,1.375,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,21,small,absolute,post_position,source_relative,offset_overlap_50,1,32,128,192,0.5,32,160,32,128,176,1.375,0.04176534339785576,0.998394250869751
