seed,model_tier,position_mode,strategy,global_positions,overlap_fraction,layer_id,sequence_tokens,encoding_block_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
42,small,absolute,overlap_global,True,0.25,3,128,32,152,1.1875,0.6172475218772888,0.6885749101638794
42,small,absolute,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
42,small,absolute,overlap_global,True,0.5,1,128,32,176,1.375,0.1692037433385849,0.9799152612686157
42,small,absolute,overlap_global,True,0.5,2,128,32,176,1.375,0.32364314794540405,0.9274340271949768
42,small,absolute,overlap_global,True,0.5,3,128,32,176,1.375,0.4838627874851227,0.8109817504882812
87,small,absolute,independent_local,False,0.0,0,128,32,128,1.0,0.6529508829116821,0.6320951581001282
87,small,absolute,independent_local,False,0.0,1,128,32,128,1.0,0.6993518471717834,0.602629542350769
87,small,absolute,independent_local,False,0.0,2,128,32,128,1.0,0.7010368704795837,0.5744993686676025
87,small,absolute,independent_local,False,0.0,3,128,32,128,1.0,0.6646218299865723,0.5767967700958252
87,small,absolute,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
87,small,absolute,independent_global,True,0.0,1,128,32,128,1.0,0.17450354993343353,0.9775047302246094
87,small,absolute,independent_global,True,0.0,2,128,32,128,1.0,0.252591609954834,0.9479191303253174
87,small,absolute,independent_global,True,0.0,3,128,32,128,1.0,0.25235122442245483,0.9388828277587891
87,small,absolute,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
87,small,absolute,overlap_global,True,0.05,1,128,32,134,1.046875,0.12224336713552475,0.9879947900772095
87,small,absolute,overlap_global,True,0.05,2,128,32,134,1.046875,0.18059441447257996,0.9702022075653076
87,small,absolute,overlap_global,True,0.05,3,128,32,134,1.046875,0.1776779741048813,0.9689916968345642
87,small,absolute,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
87,small,absolute,overlap_global,True,0.1,1,128,32,137,1.0703125,0.11642293632030487,0.9893718361854553
87,small,absolute,overlap_global,True,0.1,2,128,32,137,1.0703125,0.17941024899482727,0.9710053205490112
87,small,absolute,overlap_global,True,0.1,3,128,32,137,1.0703125,0.18767207860946655,0.9661358594894409
87,small,absolute,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
87,small,absolute,overlap_global,True,0.25,1,128,32,152,1.1875,0.09809734672307968,0.9923154711723328
87,small,absolute,overlap_global,True,0.25,2,128,32,152,1.1875,0.17367443442344666,0.9736178517341614
87,small,absolute,overlap_global,True,0.25,3,128,32,152,1.1875,0.17904628813266754,0.9699997901916504
87,small,absolute,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
87,small,absolute,overlap_global,True,0.5,1,128,32,176,1.375,0.07449888437986374,0.9954255819320679
87,small,absolute,overlap_global,True,0.5,2,128,32,176,1.375,0.14094632863998413,0.9820906519889832
87,small,absolute,overlap_global,True,0.5,3,128,32,176,1.375,0.14547300338745117,0.9800689220428467
1,small,rope,independent_local,False,0.0,0,128,32,128,1.0,0.562903106212616,0.6053991913795471
1,small,rope,independent_local,False,0.0,1,128,32,128,1.0,0.5659743547439575,0.5852652788162231
1,small,rope,independent_local,False,0.0,2,128,32,128,1.0,0.5890586972236633,0.6008363366127014
1,small,rope,independent_local,False,0.0,3,128,32,128,1.0,0.6329551339149475,0.5926359295845032
1,small,rope,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
1,small,rope,independent_global,True,0.0,1,128,32,128,1.0,0.10937429964542389,0.986372709274292
1,small,rope,independent_global,True,0.0,2,128,32,128,1.0,0.1528542935848236,0.9753862023353577
1,small,rope,independent_global,True,0.0,3,128,32,128,1.0,0.17735165357589722,0.9664725661277771
1,small,rope,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
1,small,rope,overlap_global,True,0.05,1,128,32,134,1.046875,0.09920637309551239,0.9891012907028198
1,small,rope,overlap_global,True,0.05,2,128,32,134,1.046875,0.13883954286575317,0.9803919792175293
1,small,rope,overlap_global,True,0.05,3,128,32,134,1.046875,0.16055002808570862,0.9728327989578247
1,small,rope,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
1,small,rope,overlap_global,True,0.1,1,128,32,137,1.0703125,0.09592139720916748,0.9896149635314941
1,small,rope,overlap_global,True,0.1,2,128,32,137,1.0703125,0.15917415916919708,0.9724063277244568
1,small,rope,overlap_global,True,0.1,3,128,32,137,1.0703125,0.21979208290576935,0.9472699165344238
1,small,rope,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
1,small,rope,overlap_global,True,0.25,1,128,32,152,1.1875,0.085114985704422,0.9919148683547974
1,small,rope,overlap_global,True,0.25,2,128,32,152,1.1875,0.17562459409236908,0.9660981297492981
1,small,rope,overlap_global,True,0.25,3,128,32,152,1.1875,0.25812262296676636,0.9268510341644287
1,small,rope,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
1,small,rope,overlap_global,True,0.5,1,128,32,176,1.375,0.07569146156311035,0.9940466284751892
1,small,rope,overlap_global,True,0.5,2,128,32,176,1.375,0.12099569290876389,0.9846998453140259
1,small,rope,overlap_global,True,0.5,3,128,32,176,1.375,0.14868836104869843,0.9762118458747864
7,small,rope,independent_local,False,0.0,0,128,32,128,1.0,0.5734535455703735,0.5970653295516968
7,small,rope,independent_local,False,0.0,1,128,32,128,1.0,0.6022244095802307,0.588986873626709
7,small,rope,independent_local,False,0.0,2,128,32,128,1.0,0.6719067096710205,0.5615004897117615
7,small,rope,independent_local,False,0.0,3,128,32,128,1.0,0.7863349318504333,0.5104576349258423
7,small,rope,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
7,small,rope,independent_global,True,0.0,1,128,32,128,1.0,0.11802305281162262,0.9830586314201355
7,small,rope,independent_global,True,0.0,2,128,32,128,1.0,0.24590249359607697,0.9387325048446655
7,small,rope,independent_global,True,0.0,3,128,32,128,1.0,0.4081544280052185,0.8619219064712524
7,small,rope,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
7,small,rope,overlap_global,True,0.05,1,128,32,134,1.046875,0.09726347029209137,0.9881511926651001
7,small,rope,overlap_global,True,0.05,2,128,32,134,1.046875,0.2145562618970871,0.9517269134521484
7,small,rope,overlap_global,True,0.05,3,128,32,134,1.046875,0.3760339915752411,0.8734377026557922
7,small,rope,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
7,small,rope,overlap_global,True,0.1,1,128,32,137,1.0703125,0.09119010716676712,0.9896354079246521
7,small,rope,overlap_global,True,0.1,2,128,32,137,1.0703125,0.19350410997867584,0.9594588279724121
7,small,rope,overlap_global,True,0.1,3,128,32,137,1.0703125,0.3327753245830536,0.8966519832611084
7,small,rope,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
7,small,rope,overlap_global,True,0.25,1,128,32,152,1.1875,0.06645229458808899,0.994580864906311
