active_tokens,candidate_records,case_id,cross_task_contamination,detail_depth,estimated_tokens_per_record,family,join_complete,logical_backing_tokens,matched_budget_tokens,materialized_tokens,policy,record_budget,relevant_record_recall,scope_latency_us,seed,selected_records,task_count,useful_precision,widened
336,96,parallel-n16-r6-s53,0.9375,compact,12,parallel,1,336,192,192,session,16,1.0,8122.500032186508,53,16,16,0.0625,0
168,96,parallel-n16-r6-s53,1.0,selected,24,parallel,0,168,192,192,session,8,0.0,7045.600097626448,53,8,16,0.0,0
84,96,parallel-n16-r6-s53,1.0,full,48,parallel,0,84,192,192,session,4,0.0,12220.599921420217,53,4,16,0.0,0
63,96,parallel-n16-r6-s53,1.0,native_kv,64,parallel,0,63,192,192,session,3,0.0,8190.200198441744,53,3,16,0.0,0
126,6,parallel-n16-r6-s53,0.0,index,4,parallel,1,126,192,24,task_local,48,1.0,3102.799877524376,53,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s53,0.0,compact,12,parallel,1,126,192,72,task_local,16,1.0,1607.400132343173,53,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s53,0.0,selected,24,parallel,1,126,192,144,task_local,8,1.0,3976.4000102877617,53,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s53,0.0,full,48,parallel,1,84,192,192,task_local,4,1.0,3025.1999851316214,53,4,16,0.25,0
63,6,parallel-n16-r6-s53,0.0,native_kv,64,parallel,1,63,192,192,task_local,3,1.0,3092.8999185562134,53,3,16,0.3333333333333333,0
126,6,parallel-n16-r6-s53,0.0,index,4,parallel,1,126,192,24,task_structural,48,1.0,3702.60002091527,53,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s53,0.0,compact,12,parallel,1,126,192,72,task_structural,16,1.0,2463.000128045678,53,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s53,0.0,selected,24,parallel,1,126,192,144,task_structural,8,1.0,3974.3001107126474,53,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s53,0.0,full,48,parallel,1,84,192,192,task_structural,4,1.0,2854.4000815600157,53,4,16,0.25,0
63,6,parallel-n16-r6-s53,0.0,native_kv,64,parallel,1,63,192,192,task_structural,3,1.0,2353.799995034933,53,3,16,0.3333333333333333,0
126,6,parallel-n16-r6-s53,0.0,index,4,parallel,1,126,192,24,task_adaptive,48,1.0,2584.800124168396,53,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s53,0.0,compact,12,parallel,1,126,192,72,task_adaptive,16,1.0,3083.999967202544,53,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s53,0.0,selected,24,parallel,1,126,192,144,task_adaptive,8,1.0,2606.899943202734,53,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s53,0.0,full,48,parallel,1,84,192,192,task_adaptive,4,1.0,1786.9998700916767,53,4,16,0.25,0
63,6,parallel-n16-r6-s53,0.0,native_kv,64,parallel,1,63,192,192,task_adaptive,3,1.0,1746.6999124735594,53,3,16,0.3333333333333333,0
1008,96,parallel-n16-r6-s71,0.9375,index,4,parallel,1,1008,192,192,session,48,1.0,6187.899969518185,71,48,16,0.020833333333333332,0
336,96,parallel-n16-r6-s71,0.9375,compact,12,parallel,1,336,192,192,session,16,1.0,9881.800040602684,71,16,16,0.0625,0
