catalog_size,strategy,max_candidates,required_recall_mean,required_recall_std,useful_precision_mean,useful_precision_std,unsafe_exposure_mean,unsafe_exposure_std,context_tokens_mean,context_tokens_std
128,A6_topk,20,0.9416666666666667,0.00380362887156364,0.07291666666666667,0.0006495932963149181,0.6263888888888889,0.04668815642769891,2085.4847222222224,3.929025885109724
128,A7_diversity_union,2,0.6083333333333333,0.02282177322938189,0.3555555555555555,0.009381427837573827,0.06944444444444445,0.03257233166544049,192.99444444444447,1.2209135196773209
128,A7_diversity_union,3,0.7430555555555556,0.024552318791199568,0.3013888888888889,0.008249319296854376,0.10972222222222223,0.040907434652842065,293.5833333333333,1.5752871823226693
128,A7_diversity_union,4,0.7944444444444445,0.028036985053036593,0.24930555555555553,0.007822139115325552,0.1638888888888889,0.03885166869638712,397.95,1.8335726906039014
128,A7_diversity_union,5,0.8291666666666666,0.020600551353043478,0.20861111111111114,0.0074406084644327046,0.2263888888888889,0.048759693559838765,503.69444444444446,2.2553787304114956
128,A7_diversity_union,6,0.85,0.01598731171280744,0.18124999999999997,0.006728908265624363,0.2652777777777778,0.05229125165837974,607.9097222222223,2.8208765861884446
128,A7_diversity_union,8,0.8652777777777778,0.015987311712807414,0.14184027777777777,0.00445169493227712,0.33611111111111114,0.04949591578112629,815.7416666666666,7.657948759638402
128,A7_diversity_union,10,0.8791666666666667,0.011620278146306572,0.11875,0.003928371006591934,0.4111111111111111,0.04149269235080461,1024.0458333333333,10.119634971671479
128,A7_diversity_union,20,0.9222222222222222,0.013357905598382892,0.06763888888888889,0.001598731171280743,0.6875,0.04632522244488312,2070.2305555555554,14.088416105588415
128,A7_fused_score,2,0.6597222222222222,0.038975597778895206,0.3888888888888889,0.01979471224130448,0.07361111111111111,0.03279366375865999,192.9875,1.922779854488587
128,A7_fused_score,3,0.7388888888888889,0.025797466140287134,0.30694444444444435,0.007246516593749329,0.1125,0.050413031702448714,295.9611111111111,1.7760788322927892
128,A7_fused_score,4,0.7833333333333333,0.021628349308885356,0.2520833333333333,0.003763799199423389,0.15833333333333333,0.045643546458763846,399.12361111111113,1.4538903881663652
128,A7_fused_score,5,0.8111111111111111,0.010300275676521715,0.2136111111111111,0.005503225765599695,0.19861111111111113,0.06937496524301211,503.0416666666667,1.3914126376048148
128,A7_fused_score,6,0.8444444444444444,0.022287231299835043,0.18796296296296294,0.005991749585900368,0.24027777777777776,0.07972512576981203,607.8597222222222,2.15503577818257
128,A7_fused_score,8,0.8708333333333333,0.007917884896521768,0.14895833333333336,0.0041901105507455355,0.33611111111111114,0.06338113449502578,817.3902777777778,2.4940148262798645
128,A7_fused_score,10,0.888888888888889,0.006944444444444487,0.12569444444444444,0.0017704928866641534,0.40694444444444444,0.04826263987192792,1027.6597222222222,2.200309716204116
128,A7_fused_score,20,0.9291666666666668,0.005810139073153275,0.07618055555555556,0.0004658474953124617,0.7041666666666666,0.02334407821384949,2078.6819444444445,4.378331513731775
128,A7_raw_union,2,0.4763888888888889,0.03352088440596436,0.2861111111111111,0.019425834348193574,0.07777777777777778,0.04001350080802204,194.36805555555557,2.353700584802841
128,A7_raw_union,3,0.7347222222222223,0.015055196797693618,0.2930555555555555,0.01129288047930598,0.10416666666666667,0.04166666666666667,293.3375,2.0321644427877876
128,A7_raw_union,4,0.8180555555555555,0.023240556292613217,0.25,0.00950907217890915,0.15416666666666667,0.04320091948609942,397.85833333333335,2.6044518362380766
128,A7_raw_union,5,0.8402777777777779,0.02024636074599057,0.215,0.007819826811255131,0.19027777777777777,0.05164164567382834,502.1416666666667,3.30003843388579
128,A7_raw_union,6,0.85,0.017430417219459916,0.1842592592592592,0.00681790577547368,0.24722222222222223,0.0576012259814659,606.8486111111112,3.4767553742100397
128,A7_raw_union,8,0.8722222222222221,0.017430417219459884,0.14444444444444443,0.004006243319171635,0.32222222222222224,0.05568561165758182,817.1541666666667,3.7402632080831895
128,A7_raw_union,10,0.8791666666666667,0.02117770928052347,0.11986111111111111,0.004297707901879387,0.39861111111111114,0.04037344959374619,1025.826388888889,7.833013192827643
128,A7_raw_union,20,0.923611111111111,0.012028130608117195,0.06805555555555556,0.0011251285934735912,0.6875,0.04885849749816068,2071.6958333333337,14.519346561591917
512,A2_topk,2,0.6388888888888888,0.023032116599690313,0.3416666666666667,0.011143615649917489,0.06666666666666667,0.03167153958608717,198.9736111111111,1.0452069468427805
512,A2_topk,3,0.6708333333333334,0.03128855646130227,0.24675925925925926,0.014785851317288247,0.09166666666666666,0.040313681315833315,307.0361111111111,1.3057069947629314
512,A2_topk,4,0.7125,0.023344078213849394,0.20034722222222223,0.005836019553462366,0.10833333333333335,0.03242393758313543,414.20972222222224,1.1149067114824793
512,A2_topk,5,0.7194444444444444,0.023344078213849442,0.1625,0.004910463758239928,0.14166666666666666,0.04462852503627674,522.8541666666666,0.9774413483714092
512,A2_topk,6,0.7333333333333334,0.011620278146306607,0.1395833333333333,0.001936713024384435,0.1736111111111111,0.05356683548799137,630.7888888888889,1.3973578601050978
